headline,description,source,url,image,neighbourhood,category
‘Cloud-9’ is a newly discovered celestial object. It could help solve a cosmic mystery,‘Cloud-9’ is a newly discovered celestial object. It could help solve a cosmic mystery,CP24,https://www.cp24.com/news/world/2026/01/11/cloud-9-is-a-newly-discovered-celestial-object-it-could-help-solve-a-cosmic-mystery/,images/scraped_6afa21f39e34.png,Toronto,news
"Expert warns U.S. oil push in Venezuela faces major risks, long timeline","Expert warns U.S. oil push in Venezuela faces major risks, long timeline",CP24,https://www.cp24.com/news/world/2026/01/11/expert-warns-us-oil-push-in-venezuela-faces-major-risks-long-timeline/,images/scraped_b098ac6012ac.png,Toronto,news
Why are people still playing with Tamagotchis?,Why are people still playing with Tamagotchis?,CP24,https://www.cp24.com/news/canada/2026/01/11/why-are-people-still-playing-with-tamagotchis/,images/scraped_124b75cc6b81.png,Toronto,news
"Forget the bottled water, this Canadian rideshare driver offers neon lights and a microphone","Forget the bottled water, this Canadian rideshare driver offers neon lights and a microphone",CP24,https://www.cp24.com/news/canada/2026/01/11/forget-the-bottled-water-this-canadian-rideshare-driver-offers-neon-lights-and-a-microphone/,images/scraped_695e1fef6ef5.png,Toronto,news
Canola farmers struggle to turn profit as Chinese tariffs linger,Canola farmers struggle to turn profit as Chinese tariffs linger,CP24,https://www.cp24.com/news/world/2026/01/11/canola-farmers-struggle-to-turn-profit-as-chinese-tariffs-linger/,images/scraped_51205d96d83f.png,Toronto,news
"Thousands of Canadian restaurants could shutter in 2026: reportA new forecast from Dalhousie University shows that 7,000 restaurants went out of business across Canada last year and predicts another 4,000 could close in 2026, with Ontario expected to take a significant…8h ago","A new forecast from Dalhousie University shows that 7,000 restaurants went out of business across Canada last year and predicts another 4,000 could close in 2026, with Ontario expected to take a significant…",CityNews,https://toronto.citynews.ca/2026/01/10/thousands-of-canadian-restaurants-could-shutter-in-2026-report/,images/scraped_d804b386a92e.png,Toronto,news
"Veteran actor T.K. Carter, known for ‘The Thing’ and ‘Punky Brewster,’ dies at 69DUARTE, Calif. (AP) — Veteran actor T.K. Carter, who appeared in the horror film “The Thing” and “Punky Brewster” on television, has died at the age of 69.
              Carter was declared dead…9h ago","DUARTE, Calif. (AP) — Veteran actor T.K. Carter, who appeared in the horror film “The Thing” and “Punky Brewster” on television, has died at the age of 69.
              Carter was declared dead…",CityNews,https://toronto.citynews.ca/2026/01/10/veteran-actor-t-k-carter-known-for-the-thing-and-punky-brewster-dies-at-69/,images/scraped_97471cba3d29.png,Toronto,news
"Shelter-in-place lifted in Simcoe: OPPThe Ontario Provincial Police has lifted a shelter-in-place order after they asked the public to remain indoors in Simcoe on Saturday.



Authorities were called to the area of Kent Street North and Union…8h ago","The Ontario Provincial Police has lifted a shelter-in-place order after they asked the public to remain indoors in Simcoe on Saturday.



Authorities were called to the area of Kent Street North and Union…",CityNews,https://toronto.citynews.ca/2026/01/10/shelter-in-place-ordered-in-simcoe-opp/,images/scraped_c589756017c7.png,Simcoe,crime
"Disappearance of Taron Stepanyan now being investigated as potential homicide: policeToronto police say the disappearance of a 42-year-old man who was last seen leaving his Scarborough home more than two years ago is now being investigated as a potential homicide.



Taron Stepanyan left…16h ago","Toronto police say the disappearance of a 42-year-old man who was last seen leaving his Scarborough home more than two years ago is now being investigated as a potential homicide.



Taron Stepanyan left…",CityNews,https://toronto.citynews.ca/2026/01/10/taron-stepanyan-homicide-update/,images/scraped_681d5add98cb.png,Scarborough,crime
"$55M Lotto Max winning ticket sold in eastern OntarioThe winning ticket in Friday’s Lotto Max jackpot was sold somewhere in the Ottawa area.



Ontario lottery officials say the $55 million winning ticket was sold somewhere in the United Counties of Prescott…17h ago","The winning ticket in Friday’s Lotto Max jackpot was sold somewhere in the Ottawa area.



Ontario lottery officials say the $55 million winning ticket was sold somewhere in the United Counties of Prescott…",CityNews,https://toronto.citynews.ca/2026/01/10/55m-lotto-max-winning-ticket-sold-in-eastern-ontario/,images/scraped_bc2cfc687d96.png,Toronto,news
"Man injured in east-end stabbing: policeToronto police say a man has been taken to a hospital after he was stabbed in the city’s east-end on Saturday.



The incident happened outside a Burger King near Broadview station around 4 p.m.



Police…11h ago","Toronto police say a man has been taken to a hospital after he was stabbed in the city’s east-end on Saturday.



The incident happened outside a Burger King near Broadview station around 4 p.m.



Police…",CityNews,https://toronto.citynews.ca/2026/01/10/man-injured-in-east-york-stabbing/,images/scraped_4ecc00e72ee8.png,Toronto,crime
